네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 건강/취미
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","건강/취미"
"2021-07-09",34
"2021-07-10",44
"2021-07-11",45
"2021-07-12",36
"2021-07-13",47
"2021-07-14",37
"2021-07-15",49
"2021-07-16",35
"2021-07-17",31
"2021-07-18",28
"2021-07-19",46
"2021-07-20",31
"2021-07-21",31
"2021-07-22",34
"2021-07-23",27
"2021-07-24",45
"2021-07-25",33
"2021-07-26",32
"2021-07-27",25
"2021-07-28",17
"2021-07-29",41
"2021-07-30",24
"2021-07-31",21
"2021-08-01",28
"2021-08-02",27
"2021-08-03",35
"2021-08-04",33
"2021-08-05",28
"2021-08-06",25
"2021-08-07",31
"2021-08-08",39
"2021-08-09",34
"2021-08-10",31
"2021-08-11",33
"2021-08-12",38
"2021-08-13",39
"2021-08-14",28
"2021-08-15",37
"2021-08-16",49
"2021-08-17",35
"2021-08-18",46
"2021-08-19",32
"2021-08-20",27
"2021-08-21",33
"2021-08-22",39
"2021-08-23",40
"2021-08-24",33
"2021-08-25",74
"2021-08-26",38
"2021-08-27",40
"2021-08-28",30
"2021-08-29",23
"2021-08-30",58
"2021-08-31",30
"2021-09-01",43
"2021-09-02",44
"2021-09-03",43
"2021-09-04",42
"2021-09-05",41
"2021-09-06",34
"2021-09-07",29
"2021-09-08",31
"2021-09-09",28
"2021-09-10",36
"2021-09-11",36
"2021-09-12",53
"2021-09-13",30
"2021-09-14",36
"2021-09-15",30
"2021-09-16",33
"2021-09-17",27
"2021-09-18",19
"2021-09-19",34
"2021-09-20",21
"2021-09-21",26
"2021-09-22",44
"2021-09-23",26
"2021-09-24",34
"2021-09-25",31
"2021-09-26",41
"2021-09-27",37
"2021-09-28",28
"2021-09-29",49
"2021-09-30",39
"2021-10-01",35
"2021-10-02",28
"2021-10-03",37
"2021-10-04",24
"2021-10-05",30
"2021-10-06",31
"2021-10-07",37
"2021-10-08",31
"2021-10-09",26
"2021-10-10",32
"2021-10-11",37
"2021-10-12",43
"2021-10-13",25
"2021-10-14",43
"2021-10-15",55
"2021-10-16",25
"2021-10-17",39
"2021-10-18",44
"2021-10-19",20
"2021-10-20",28
"2021-10-21",16
"2021-10-22",51
"2021-10-23",34
"2021-10-24",48
"2021-10-25",33
"2021-10-26",43
"2021-10-27",44
"2021-10-28",44
"2021-10-29",27
"2021-10-30",48
"2021-10-31",56
"2021-11-01",52
"2021-11-02",34
"2021-11-03",49
"2021-11-04",44
"2021-11-05",33
"2021-11-06",79
"2021-11-07",53
"2021-11-08",47
"2021-11-09",53
"2021-11-10",28
"2021-11-11",56
"2021-11-12",56
"2021-11-13",39
"2021-11-14",31
"2021-11-15",40
"2021-11-16",46
"2021-11-17",45
"2021-11-18",38
"2021-11-19",44
"2021-11-20",53
"2021-11-21",48
"2021-11-22",61
"2021-11-23",43
"2021-11-24",32
"2021-11-25",31
"2021-11-26",54
"2021-11-27",56
"2021-11-28",56
"2021-11-29",80
"2021-11-30",67
"2021-12-01",49
"2021-12-02",52
"2021-12-03",52
"2021-12-04",35
"2021-12-05",53
"2021-12-06",36
"2021-12-07",69
"2021-12-08",85
"2021-12-09",69
"2021-12-10",36
"2021-12-11",71
"2021-12-12",72
"2021-12-13",64
"2021-12-14",74
"2021-12-15",59
"2021-12-16",57
"2021-12-17",61
"2021-12-18",63
"2021-12-19",63
"2021-12-20",77
"2021-12-21",56
"2021-12-22",74
"2021-12-23",66
"2021-12-24",76
"2021-12-25",55
"2021-12-26",67
"2021-12-27",73
"2021-12-28",63
"2021-12-29",93
"2021-12-30",88
"2021-12-31",60
"2022-01-01",78
"2022-01-02",80
"2022-01-03",66
"2022-01-04",61
"2022-01-05",54
"2022-01-06",62
"2022-01-07",43
"2022-01-08",62
"2022-01-09",77
"2022-01-10",62
"2022-01-11",74
"2022-01-12",56
"2022-01-13",78
"2022-01-14",52
"2022-01-15",75
"2022-01-16",61
"2022-01-17",66
"2022-01-18",42
"2022-01-19",72
"2022-01-20",52
"2022-01-21",63
"2022-01-22",50
"2022-01-23",54
"2022-01-24",41
"2022-01-25",59
"2022-01-26",53
"2022-01-27",44
